"ID","Title","Assigned To","Case ID","Comment","Defects","Elapsed","Estimate","Forecast","In Progress","Plan","Plan ID","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Status","Tested By","Tested On","Type","Version"
"T2800","Размер кнопок в верхней строке  окна программы.","","C10","Кнопки имеют разный размер:
-Кнопка ""Найти и добавить файл в список"" 35х28 рх.
-Кнопка ""Удалить выделенные файлы из списка"" 32х25 рх.
-Кнопка ""Начать грузить"" 32х32 рх.
-Кнопка ""Приостановить"" 37х30 рх.","","","","","","Romanyuk_Spaten","R29","Low","","Test Run 20.02.2021","","R33","Нефункциональные тесты (интерфейс пользователя).","1","","Failed","Ярослав Романюк","20.02.2021 22:32","Accessibility",""
"T2802","Простота, логичность и понятность интерфейса.","","C127","Все результаты соответствуют ожиданиям.","","","","","","Romanyuk_Spaten","R29","Low","","Test Run 20.02.2021","","R33","Нефункциональные тесты (интерфейс пользователя).","1","","Passed","Ярослав Романюк","20.02.2021 22:25","Accessibility",""
"T2801","Копирование файлов различных типов и размеров.","","C23","","","","86400s","","","Romanyuk_Spaten","R29","Critical","","Test Run 20.02.2021","","R33","Функциональные тесты (тестирование взаимодействия).","1","","Passed","Ярослав Романюк","20.02.2021 22:27","Functional",""
"T2803","Соответствие названия кнопки выполняемому действию.","","C128","","","","","","","Romanyuk_Spaten","R29","Low","","Test Run 20.02.2021","","R33","Функциональные тесты (тестирование взаимодействия).","1","","Passed","Ярослав Романюк","20.02.2021 22:38","Accessibility",""
"T2809","Копирование нескольких файлов одной задачей.","","C141","","","","","","","Romanyuk_Spaten","R29","Critical","","Test Run 20.02.2021","","R33","Функциональные тесты (тестирование взаимодействия).","1","","Passed","Ярослав Романюк","20.02.2021 22:40","Functional",""
"T2810","Дублирование файлов в списке на копирование.","","C144","","","","","","","Romanyuk_Spaten","R29","Critical","","Test Run 20.02.2021","","R33","Функциональные тесты (тестирование взаимодействия).","1","","Failed","Ярослав Романюк","20.02.2021 22:44","Functional",""
"T2811","Повторное копирование одного и того же файла.","","C149","","","","","","","Romanyuk_Spaten","R29","Medium","","Test Run 20.02.2021","","R33","Функциональные тесты (тестирование взаимодействия).","1","","Failed","Ярослав Романюк","20.02.2021 22:43","Functional",""
"T2812","Ручной ввод локации для копирования.","","C151","","","","","","","Romanyuk_Spaten","R29","Medium","","Test Run 20.02.2021","","R33","Функциональные тесты (тестирование взаимодействия).","1","","Failed","Ярослав Романюк","20.02.2021 22:47","Functional",""
"T2813","Удаление файла из списка копирования.","","C153","","","","","","","Romanyuk_Spaten","R29","Medium","","Test Run 20.02.2021","","R33","Функциональные тесты (тестирование взаимодействия).","1","","Failed","Ярослав Романюк","20.02.2021 22:47","Functional",""
"T2814","Удаление нескольких файлов из списка копирования.","","C154","","","","","","","Romanyuk_Spaten","R29","Medium","","Test Run 20.02.2021","","R33","Функциональные тесты (тестирование взаимодействия).","1","","Passed","Ярослав Романюк","20.02.2021 22:48","Functional",""
"T2804","Отображение описания выполняемой функции.","","C129","","","","","","","Romanyuk_Spaten","R29","Medium","","Test Run 20.02.2021","","R33","Нефункциональные тесты (удобство использования).","1","","Passed","Ярослав Романюк","20.02.2021 22:49","Usability",""
"T2805","Соответствие описания названию кнопок.","","C130","","","","","","","Romanyuk_Spaten","R29","Medium","","Test Run 20.02.2021","","R33","Нефункциональные тесты (удобство использования).","1","","Passed","Ярослав Романюк","20.02.2021 22:51","Usability",""
"T2806","Изменение размера окна программы.","","C131","","","","","","","Romanyuk_Spaten","R29","Medium","","Test Run 20.02.2021","","R33","Нефункциональные тесты (удобство использования).","1","","Failed","Ярослав Романюк","20.02.2021 22:52","Usability",""
"T2807","Добавление файла(ов) в список перетаскиванием мышью.","","C132","","","","","","","Romanyuk_Spaten","R29","Medium","","Test Run 20.02.2021","","R33","Нефункциональные тесты (удобство использования).","1","","Failed","Ярослав Романюк","20.02.2021 22:54","Usability",""
"T2808","Изменение списка файлов с помощью правой клавиши мыши.","","C140","","","","","","","Romanyuk_Spaten","R29","Medium","","Test Run 20.02.2021","","R33","Нефункциональные тесты (удобство использования).","1","","Failed","Ярослав Романюк","20.02.2021 22:54","Usability",""
